Player,Squad,Age,Nationality,Season
Richarlison,Tottenham,27-350,br BRA,2023-2024
Andrew Robertson,Liverpool,31-045,sct SCO,2023-2024
Antonee Robinson,Fulham,27-260,us USA,2023-2024
Jay Robinson,Southampton,18-041,eng ENG,2023-2024
Rodri,Manchester City,28-307,es ESP,2023-2024
Guido Rodríguez,West Ham,31-013,ar ARG,2023-2024
Mads Roerslev,Brentford,25-305,dk DEN,2023-2024
Morgan Rogers,Aston Villa,22-273,eng ENG,2023-2024
Cristian Romero,Tottenham,26-363,ar ARG,2023-2024
Georginio Rutter,Brighton,23-005,fr FRA,2023-2024
José Sá,Wolves,32-098,pt POR,2023-2024
Bukayo Saka,Arsenal,23-232,eng ENG,2023-2024
Mohamed Salah,Liverpool,32-314,eg EGY,2023-2024
William Saliba,Arsenal,24-032,fr FRA,2023-2024
Robert Sánchez,Chelsea,27-158,es ESP,2023-2024
Jadon Sancho,Chelsea,25-031,eng ENG,2023-2024
Ibrahim Sangaré,Nott'ham Forest,27-144,ci CIV,2023-2024
Pablo Sarabia,Wolves,32-349,es ESP,2023-2024
Jeremy Sarmiento,Brighton,22-313,ec ECU,2023-2024
